id,parent_id,level,kind,page,title,slug,url
26,1,1,section,20,Selection & Alternate Selection Strategy,selection-and-alternate-selection-strategy,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=20
27,26,2,subsection,20,Introducing the Primary Selection,introducing-the-primary-selection,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=20
28,26,2,subsection,20,Transition Language (Primary),transition-language-primary,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=20
29,26,2,subsection,20,Introducing the Alternate Selection,introducing-the-alternate-selection,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=20
30,26,2,subsection,20,Preparing the Customer,preparing-the-customer,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=20
31,26,2,subsection,20,Transition Language (Alternate),transition-language-alternate,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=20
32,26,2,subsection,21,Offering an Alternative When the Ideal Vehicle is Unavailable,offering-alternative-when-ideal-unavailable,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=21
33,26,2,subsection,21,Presenting a Unique Option,presenting-a-unique-option,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=21
34,26,2,subsection,21,Transitional Phrases to Build Value,transitional-phrases-to-build-value,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=21
35,26,2,subsection,21,To Reinforce Key Features,to-reinforce-key-features,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=21
36,26,2,subsection,21,To Demonstrate Attentiveness to Detail,to-demonstrate-attentiveness-to-detail,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=21
37,26,2,subsection,21,To Address Common Preferences and Concerns,to-address-common-preferences-and-concerns,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=21
38,26,2,subsection,22,Why This Matters,why-this-matters,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=22
39,1,1,section,23,Emotional Test Drive: Connecting Customers to Their Future Vehicle,emotional-test-drive,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=23
40,39,2,subsection,24,Introducing The Interior,introducing-the-interior,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=24
41,39,2,subsection,24,Preparing For The Drive,preparing-for-the-drive,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=24
42,39,2,subsection,25,Switching Driver Positions,switching-driver-positions,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=25
43,39,2,subsection,26,Before Returning To The Dealership,before-returning-to-the-dealership,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=26
44,39,2,subsection,26,Engaging The Customer’s Imagination,engaging-the-customers-imagination,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=26
45,39,2,subsection,26,Transition To Final Discussion,transition-to-final-discussion,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=26
46,1,1,section,27,Hood Ornament: Closing the Deal,hood-ornament-closing-the-deal,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=27
47,46,2,subsection,27,Hood Ornament → Yes!,hood-ornament-yes,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=27
48,46,2,subsection,27,Gauge Excitement,gauge-excitement,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=27
49,46,2,subsection,27,Closing the Commitment,closing-the-commitment,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=27
50,46,2,subsection,27,Setting Up the Next Step,setting-up-the-next-step,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=27
51,46,2,subsection,28,Hood Ornament → No (Or Not Yet),hood-ornament-no-not-yet,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=28
52,46,2,subsection,28,Gauge Interest,gauge-interest,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=28
53,46,2,subsection,28,Uncover the Obstacle,uncover-the-obstacle,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=28
54,46,2,subsection,28,Validate & Reframe,validate-and-reframe,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=28
55,46,2,subsection,28,Unit Not In Stock,unit-not-in-stock,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=28
56,46,2,subsection,28,Prepare for the Process,prepare-for-the-process,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=28
57,46,2,subsection,29,Common Objections & Word-Tracks,common-objections-and-word-tracks,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=29
58,46,2,subsection,30,Overcoming Common Hesitations,overcoming-common-hesitations,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=30
59,46,2,subsection,30,First Stop Hesitation,first-stop-hesitation,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=30
60,46,2,subsection,30,Spousal Consultation,spousal-consultation,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=30
61,46,2,subsection,30,Transition To Paperwork,transition-to-paperwork,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=30
62,1,1,section,31,Facilitating a Seamless Handoff: The Art of Turns,the-art-of-turns,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=31
63,62,2,subsection,32,1. When A Conversation Stalls,turn-1-conversation-stalls,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=32
64,62,2,subsection,32,2. When The Customer Wants To Leave,turn-2-customer-wants-to-leave,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=32
65,62,2,subsection,32,3. Proactive Turn To Enhance Value,turn-3-proactive-enhance-value,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=32
66,62,2,subsection,33,4. Sales Manager Turn,turn-4-sales-manager,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=33
67,62,2,subsection,33,5. Business Manager Turn,turn-5-business-manager,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=33
68,62,2,subsection,33,6. Sales To Sales Turn,turn-6-sales-to-sales,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=33
69,62,2,subsection,34,Why It Matters,why-it-matters-turns,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=34
70,1,1,section,35,Dealership Tour & Introductions Guide,dealership-tour-and-introductions,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=35
71,70,2,subsection,35,Transition to Dealership Tour,transition-to-dealership-tour,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=35
72,70,2,subsection,36,Service & Parts Introductions,service-and-parts-introductions,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=36
73,70,2,subsection,36,Highlighting Our Service Divisions,highlighting-our-service-divisions,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=36
74,70,2,subsection,36,Main Shop Services,main-shop-services,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=36
75,70,2,subsection,36,Express Shop Services,express-shop-services,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=36
76,70,2,subsection,36,Manager Introductions,manager-introductions,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=36
77,70,2,subsection,36,Sales Manager Introduction,sales-manager-introduction,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=36
78,70,2,subsection,36,Finance Manager Introduction,finance-manager-introduction,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=36
79,70,2,subsection,37,Facility Highlights While Touring,facility-highlights-while-touring,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=37
80,70,2,subsection,38,Transition to Vehicle Selection,transition-to-vehicle-selection,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=38
81,70,2,subsection,38,Purpose of the Tour,purpose-of-the-tour,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=38
82,1,1,section,39,Paperwork Process Script,paperwork-process-script,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=39
83,82,2,subsection,39,Paperwork Transitions,paperwork-transitions,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=39
84,82,2,subsection,39,Gather Customer Statement Information,gather-customer-statement-information,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=39
85,82,2,subsection,39,Get Numbers from the Desk,get-numbers-from-the-desk,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=39
86,82,2,subsection,40,Presentation of the Numbers,presentation-of-the-numbers,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=40
87,82,2,subsection,40,Presentation of the Numbers With Kelley Blue Book (Trade Involved),presentation-with-kelley-blue-book,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=40
88,82,2,subsection,40,Without Trade,without-trade,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=40
89,82,2,subsection,41,Getting the Written Commitment,getting-the-written-commitment,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=41
90,82,2,subsection,41,Basic Objection Isolation,basic-objection-isolation,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=41
91,82,2,subsection,42,Basic Objection Handling,basic-objection-handling,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=42
92,82,2,subsection,42,Budget Concern,budget-concern,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=42
93,82,2,subsection,42,I Need to Think About It,i-need-to-think-about-it,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=42
94,82,2,subsection,42,We are Going to Wait Until,we-are-going-to-wait-until,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=42
95,82,2,subsection,43,Additional Objection Responses,additional-objection-responses,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=43
96,82,2,subsection,43,I need to talk to my spouse,i-need-to-talk-to-my-spouse,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=43
97,82,2,subsection,43,It’s too expensive,its-too-expensive,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=43
98,1,1,section,44,AFTER THE YES! Post-Purchase Customer Experience,after-the-yes-post-purchase,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=44
99,98,2,subsection,44,Setting Up the First Service Appointment,setting-up-first-service-appointment,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=44
100,98,2,subsection,44,Arranging Manufacturer Services,arranging-manufacturer-services,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=44
101,98,2,subsection,45,Transition to Finance Manager Introduction,after-yes-transition-to-finance-intro,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=45
102,98,2,subsection,45,Why This Step Matters,after-yes-why-this-step-matters,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=45
103,1,1,section,46,Customer Interview with Finance,customer-interview-with-finance,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=46
104,103,2,subsection,47,Finance Manager Introduction,finance-manager-introduction-interview,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=47
105,103,2,subsection,47,Information Verification,information-verification,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=47
106,103,2,subsection,47,Finance Discovery Questions,finance-discovery-questions,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=47
107,103,2,subsection,48,Transition,finance-interview-transition,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=48
108,1,1,section,49,Vehicle Delivery Experience,vehicle-delivery-experience,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=49
109,108,2,subsection,49,Transition from Finance,transition-from-finance,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=49
110,108,2,subsection,49,Capture the Memory,capture-the-memory,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=49
111,108,2,subsection,49,Vehicle Inspection & Feature Overview,vehicle-inspection-and-feature-overview,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=49
112,108,2,subsection,49,Post-Feature Explanation,post-feature-explanation,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=49
113,108,2,subsection,50,Asking for Referrals,asking-for-referrals,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=50
114,108,2,subsection,50,Requesting Feedback,requesting-feedback,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=50
115,108,2,subsection,50,Setting Up Follow-Up and Redelivery Options,setting-up-follow-up-and-redelivery-options,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=50
116,108,2,subsection,50,Final Thank You,final-thank-you,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=50
117,1,1,section,51,Customer Follow-Up Templates,customer-follow-up-templates,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=51
118,117,2,subsection,51,Tail Light Text,tail-light-text,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=51
119,117,2,subsection,51,Day-After Call,day-after-call,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=51
120,117,2,subsection,52,First Service Reminder Call,first-service-reminder-call,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/sales-journey/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=52
