date,kind,start_time,end_time,session_title,focus,page,reference_url
12/16/2025,TRAINING,9:00 AM,9:45:00 AM,Paperwork Process Script,"Transitions, numbers presentation, written commitment, basic objections",39,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=39
12/17/2025,TRAINING,9:00 AM,9:45:00 AM,Delivery + Follow-Up Templates,Delivery steps + Tail Light text + Day-after + First service reminder,49,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=49
12/18/2025,TRAINING,9:00 AM,9:45:00 AM,Power Greetings,"Objective + Scenarios 1–4 (walk-ins, wandering, window-crack, weather-proof)",5,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=5
12/19/2025,TRAINING,9:00 AM,9:45:00 AM,Transition to Discovery / Pre-Appraisal,Smooth transition language + setting up the next step,10,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=10
12/22/2025,TRAINING,9:00 AM,9:45:00 AM,Discovery (With Trade-In),Discovery questions + pre-appraisal flow,12,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=12
12/23/2025,TRAINING,9:00 AM,9:45:00 AM,Discovery (Without Trade-In),Key questions + shaping the roadmap,13,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=13
12/24/2025,TRAINING,9:00 AM,9:45:00 AM,Advanced Discovery / Building Connection,Build trust + needs clarity + aligned expectations,14,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=14
12/26/2025,TRAINING,9:00 AM,9:45:00 AM,Opening Questions To Understand Preferences,"Genuine interest, package preferences, comparisons, link to current vehicle",17,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=17
12/27/2025,TRAINING,9:00 AM,9:45:00 AM,Building On Preferences To Explore Options,Seen online / availability / market value / ideal not in stock messaging,19,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=19
12/29/2025,TRAINING,9:00 AM,9:45:00 AM,Selection & Alternate Selection Strategy,Primary + alternate selection + value transitions,20,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=20
12/30/2025,TRAINING,9:00 AM,9:45:00 AM,Emotional Test Drive,"Introduce interior, prepare, switch drivers, imagination prompts, transition back",23,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=23
12/31/2025,TRAINING,9:00 AM,9:45:00 AM,Hood Ornament -> Yes!,"Gauge excitement, close commitment, set next step",27,https://raw.githubusercontent.com/BabakRosewater/training/refs/heads/main/CAM_CLARK_SALES_JOURNEY_SCRIPT_GUIDE.pdf#page=27
